csuuidSekindo;5fba45e1cf8fe;demo.guru99.com;/test/cookie/;Thu Dec 17 16:35:23 IST 2020;false
_gat_gtag_UA_1248015_24;1;.guru99.com;/;Sun Nov 22 16:36:07 IST 2020;false
_ga;GA1.2.2031226861.1606043107;.guru99.com;/;Tue Nov 22 16:35:24 IST 2022;false
Selenium;abc123;demo.guru99.com;/test/cookie/;null;false
_gid;GA1.2.1808464078.1606043107;.guru99.com;/;Mon Nov 23 16:35:24 IST 2020;false
